Date : 2019-10-23 13:36:49
Directory : /Users/jason/work/私活/faceDog/src
Total : 375 files,  24520 codes, 1683 comments, 1768 blanks, all 27971 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| components/vant/submit-bar                                |          5 |         96 |          0 |          7 |        103 |
| mixins                                                    |          2 |         94 |          3 |          7 |        104 |
| components/vant/checkbox                                  |          5 |         90 |          2 |          5 |         97 |
| components/vant/cell                                      |          5 |         84 |          0 |          9 |         93 |
| components/vant/progress                                  |          5 |         84 |          0 |          4 |         88 |
| components/vant/card                                      |          5 |         84 |          0 |         10 |         94 |
| components/vant/popup                                     |          5 |         84 |          0 |          5 |         89 |
| components/vant/button                                    |          5 |         82 |          0 |          4 |         86 |
| components/vant/common                                    |         14 |         75 |          4 |         10 |         89 |
| components/vant/nav-bar                                   |          5 |         73 |          0 |          5 |         78 |
| components/vant/tabbar                                    |          5 |         72 |          0 |          5 |         77 |
| components/vant/tabbar-item                               |          5 |         70 |          0 |          6 |         76 |
| components/vant/switch-cell                               |          5 |         67 |          0 |          4 |         71 |
| components/vant/goods-action-icon                         |          5 |         65 |          0 |          4 |         69 |
| components/vant/radio                                     |          5 |         62 |          0 |          5 |         67 |
| components/vant/switch                                    |          5 |         61 |          0 |          5 |         66 |
| components/vant/collapse                                  |          5 |         58 |          0 |          4 |         62 |
| components/vant/goods-action-button                       |          5 |         57 |          0 |          4 |         61 |
| components/vant/steps                                     |          5 |         56 |          0 |          8 |         64 |
| components/vant/badge                                     |          5 |         54 |          0 |          5 |         59 |
| components/vant/badge-group                               |          5 |         51 |          0 |          4 |         55 |
| components/vant/tab                                       |          5 |         48 |          0 |          4 |         52 |
| components/vant/icon                                      |          5 |         44 |          0 |          5 |         49 |
| components/vant/row                                       |          5 |         44 |          0 |          4 |         48 |
| components/vant/checkbox-group                            |          5 |         43 |          0 |          4 |         47 |
| components/vant/radio-group                               |          5 |         42 |          0 |          4 |         46 |
| components/vant/tag                                       |          5 |         42 |          0 |          4 |         46 |
| components/vant/overlay                                   |          5 |         38 |          1 |          4 |         43 |
| components/vant/loading                                   |          5 |         38 |          0 |          3 |         41 |
| components/vant/col                                       |          5 |         35 |          0 |          5 |         40 |
| components/vant/panel                                     |          5 |         35 |          0 |          6 |         41 |
| components/vant/transition                                |          5 |         26 |          0 |          3 |         29 |
| components/vant/cell-group                                |          5 |         24 |          0 |          3 |         27 |
| components/vant/info                                      |          5 |         17 |          0 |          4 |         21 |
| components/vant/goods-action                              |          5 |         14 |          0 |          5 |         19 |
| components/vant/common/style                              |          7 |          3 |          0 |          4 |          7 |
| components/vant/common/style/mixins                       |          3 |          0 |          0 |          3 |          3 |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| app.wpy                                                   | Vue.js     |        110 |          0 |          7 |        117 |
| components/battle/battle.wpy                              | Vue.js     |        720 |         72 |         17 |        809 |
| components/battle/imageLoader.wpy                         | Vue.js     |         90 |         22 |         13 |        125 |
| components/battle/tutorial.wpy                            | Vue.js     |         89 |          0 |         11 |        100 |
| components/battle/verify.wpy                              | Vue.js     |        173 |         23 |         14 |        210 |
| components/chat/chat.wpy                                  | Vue.js     |        272 |         11 |         10 |        293 |
| components/chat/chatlist.wpy                              | Vue.js     |        286 |          0 |         12 |        298 |
| components/chat/friends.wpy                               | Vue.js     |        126 |          0 |         13 |        139 |
| components/chat/like.wpy                                  | Vue.js     |        201 |          0 |         15 |        216 |
| components/chat/notify.wpy                                | Vue.js     |        139 |          0 |         13 |        152 |
| components/cropper.wpy                                    | Vue.js     |        132 |          1 |         10 |        143 |
| components/discover/discover.wpy                          | Vue.js     |        193 |          9 |          9 |        211 |
| components/discover/momentCard.wpy                        | Vue.js     |        644 |         27 |         12 |        683 |
| components/discover/topBanner.wpy                         | Vue.js     |         44 |          0 |          9 |         53 |
| components/empty.wpy                                      | Vue.js     |         43 |          0 |         11 |         54 |
| components/loading.wpy                                    | Vue.js     |         61 |          0 |         11 |         72 |
| components/my/my.wpy                                      | Vue.js     |        260 |          2 |         14 |        276 |
| components/rank/Constellation.wpy                         | Vue.js     |        115 |          0 |          9 |        124 |
| components/rank/rankList.wpy                              | Vue.js     |        202 |          0 |          7 |        209 |
| components/register/chooseVerify.wpy                      | Vue.js     |        171 |          1 |          9 |        181 |
| components/register/getInfo_copy.wpy                      | Vue.js     |         62 |         10 |         10 |         82 |
| components/register/profile.wpy                           | Vue.js     |        198 |          1 |          9 |        208 |
| components/register/uploadPic.wpy                         | Vue.js     |        250 |          8 |         14 |        272 |
| components/register/uploadVideo.wpy                       | Vue.js     |        150 |          3 |         10 |        163 |
| components/tabbar.wpy                                     | Vue.js     |         80 |          0 |          4 |         84 |
| components/vant/action-sheet/index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/action-sheet/index.js                     | JavaScript |         41 |          0 |          1 |         42 |
| components/vant/action-sheet/index.json                   | JSON       |          8 |          0 |          1 |          9 |
| components/vant/action-sheet/index.wxml                   | wxml       |         47 |          1 |          2 |         50 |
| components/vant/action-sheet/index.wxss                   | CSS        |          1 |          0 |          0 |          1 |
| components/vant/area/index.d.ts                           | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/area/index.js                             | JavaScript |        155 |          2 |          1 |        158 |
| components/vant/area/index.json                           | JSON       |          6 |          0 |          1 |          7 |
| components/vant/area/index.wxml                           | wxml       |         18 |          0 |          1 |         19 |
| components/vant/area/index.wxss                           | CSS        |          1 |          0 |          0 |          1 |
| components/vant/badge-group/index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/badge-group/index.js                      | JavaScript |         43 |          0 |          1 |         44 |
| components/vant/badge-group/index.json                    | JSON       |          3 |          0 |          1 |          4 |
| components/vant/badge-group/index.wxml                    | wxml       |          3 |          0 |          1 |          4 |
| components/vant/badge-group/index.wxss                    | CSS        |          1 |          0 |          0 |          1 |
| components/vant/badge/index.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/badge/index.js                            | JavaScript |         30 |          0 |          1 |         31 |
| components/vant/badge/index.json                          | JSON       |          6 |          0 |          1 |          7 |
| components/vant/badge/index.wxml                          | wxml       |         16 |          0 |          2 |         18 |
| components/vant/badge/index.wxss                          | CSS        |          1 |          0 |          0 |          1 |
| components/vant/button/index.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/button/index.js                           | JavaScript |         36 |          0 |          1 |         37 |
| components/vant/button/index.json                         | JSON       |          6 |          0 |          0 |          6 |
| components/vant/button/index.wxml                         | wxml       |         38 |          0 |          2 |         40 |
| components/vant/button/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/card/index.d.ts                           | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/card/index.js                             | JavaScript |         38 |          0 |          1 |         39 |
| components/vant/card/index.json                           | JSON       |          6 |          0 |          1 |          7 |
| components/vant/card/index.wxml                           | wxml       |         38 |          0 |          7 |         45 |
| components/vant/card/index.wxss                           | CSS        |          1 |          0 |          0 |          1 |
| components/vant/cell-group/index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/cell-group/index.js                       | JavaScript |         10 |          0 |          1 |         11 |
| components/vant/cell-group/index.json                     | JSON       |          3 |          0 |          0 |          3 |
| components/vant/cell-group/index.wxml                     | wxml       |          9 |          0 |          1 |         10 |
| components/vant/cell-group/index.wxss                     | CSS        |          1 |          0 |          0 |          1 |
| components/vant/cell/index.d.ts                           | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/cell/index.js                             | JavaScript |         37 |          0 |          1 |         38 |
| components/vant/cell/index.json                           | JSON       |          6 |          0 |          0 |          6 |
| components/vant/cell/index.wxml                           | wxml       |         39 |          0 |          7 |         46 |
| components/vant/cell/index.wxss                           | CSS        |          1 |          0 |          0 |          1 |
| components/vant/checkbox-group/index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/checkbox-group/index.js                   | JavaScript |         34 |          0 |          1 |         35 |
| components/vant/checkbox-group/index.json                 | JSON       |          6 |          0 |          1 |          7 |
| components/vant/checkbox-group/index.wxml                 | wxml       |          1 |          0 |          1 |          2 |
| components/vant/checkbox-group/index.wxss                 | CSS        |          1 |          0 |          0 |          1 |
| components/vant/checkbox/index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/checkbox/index.js                         | JavaScript |         65 |          2 |          1 |         68 |
| components/vant/checkbox/index.json                       | JSON       |          6 |          0 |          1 |          7 |
| components/vant/checkbox/index.wxml                       | wxml       |         17 |          0 |          2 |         19 |
| components/vant/checkbox/index.wxss                       | CSS        |          1 |          0 |          0 |          1 |
| components/vant/col/index.d.ts                            | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/col/index.js                              | JavaScript |         23 |          0 |          1 |         24 |
| components/vant/col/index.json                            | JSON       |          3 |          0 |          1 |          4 |
| components/vant/col/index.wxml                            | wxml       |          7 |          0 |          2 |          9 |
| components/vant/col/index.wxss                            | CSS        |          1 |          0 |          0 |          1 |
| components/vant/collapse-item/index.d.ts                  | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/collapse-item/index.js                    | JavaScript |         94 |          0 |          1 |         95 |
| components/vant/collapse-item/index.json                  | JSON       |          6 |          0 |          1 |          7 |
| components/vant/collapse-item/index.wxml                  | wxml       |         43 |          0 |          2 |         45 |
| components/vant/collapse-item/index.wxss                  | CSS        |          1 |          0 |          0 |          1 |
| components/vant/collapse/index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/collapse/index.js                         | JavaScript |         50 |          0 |          1 |         51 |
| components/vant/collapse/index.json                       | JSON       |          3 |          0 |          1 |          4 |
| components/vant/collapse/index.wxml                       | wxml       |          3 |          0 |          1 |          4 |
| components/vant/collapse/index.wxss                       | CSS        |          1 |          0 |          0 |          1 |
| components/vant/common/color.d.ts                         | TypeScript |          3 |          0 |          1 |          4 |
| components/vant/common/color.js                           | JavaScript |          3 |          0 |          1 |          4 |
| components/vant/common/component.d.ts                     | TypeScript |          2 |          0 |          1 |          3 |
| components/vant/common/component.js                       | JavaScript |         44 |          4 |          1 |         49 |
| components/vant/common/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/common/style/clearfix.wxss                | CSS        |          1 |          0 |          0 |          1 |
| components/vant/common/style/ellipsis.wxss                | CSS        |          1 |          0 |          0 |          1 |
| components/vant/common/style/hairline.wxss                | CSS        |          1 |          0 |          0 |          1 |
| components/vant/common/style/mixins/clearfix.wxss         | CSS        |          0 |          0 |          1 |          1 |
| components/vant/common/style/mixins/ellipsis.wxss         | CSS        |          0 |          0 |          1 |          1 |
| components/vant/common/style/mixins/hairline.wxss         | CSS        |          0 |          0 |          1 |          1 |
| components/vant/common/style/var.wxss                     | CSS        |          0 |          0 |          1 |          1 |
| components/vant/common/utils.d.ts                         | TypeScript |          5 |          0 |          1 |          6 |
| components/vant/common/utils.js                           | JavaScript |         14 |          0 |          1 |         15 |
| components/vant/datetime-picker/index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/datetime-picker/index.js                  | JavaScript |        277 |          3 |          1 |        281 |
| components/vant/datetime-picker/index.json                | JSON       |          6 |          0 |          1 |          7 |
| components/vant/datetime-picker/index.wxml                | wxml       |         16 |          0 |          1 |         17 |
| components/vant/datetime-picker/index.wxss                | CSS        |          1 |          0 |          0 |          1 |
| components/vant/dialog/dialog.d.ts                        | TypeScript |         43 |          0 |          1 |         44 |
| components/vant/dialog/dialog.js                          | JavaScript |         59 |          0 |          1 |         60 |
| components/vant/dialog/index.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/dialog/index.js                           | JavaScript |         96 |          1 |          1 |         98 |
| components/vant/dialog/index.json                         | JSON       |          7 |          0 |          1 |          8 |
| components/vant/dialog/index.wxml                         | wxml       |         60 |          0 |          5 |         65 |
| components/vant/dialog/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/field/index.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/field/index.js                            | JavaScript |        130 |          1 |          1 |        132 |
| components/vant/field/index.json                          | JSON       |          7 |          0 |          0 |          7 |
| components/vant/field/index.wxml                          | wxml       |         84 |          0 |          2 |         86 |
| components/vant/field/index.wxss                          | CSS        |          1 |          0 |          0 |          1 |
| components/vant/goods-action-button/index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/goods-action-button/index.js              | JavaScript |         22 |          0 |          1 |         23 |
| components/vant/goods-action-button/index.json            | JSON       |          6 |          0 |          1 |          7 |
| components/vant/goods-action-button/index.wxml            | wxml       |         27 |          0 |          1 |         28 |
| components/vant/goods-action-button/index.wxss            | CSS        |          1 |          0 |          0 |          1 |
| components/vant/goods-action-icon/index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/goods-action-icon/index.js                | JavaScript |         21 |          0 |          1 |         22 |
| components/vant/goods-action-icon/index.json              | JSON       |          7 |          0 |          1 |          8 |
| components/vant/goods-action-icon/index.wxml              | wxml       |         35 |          0 |          1 |         36 |
| components/vant/goods-action-icon/index.wxss              | CSS        |          1 |          0 |          0 |          1 |
| components/vant/goods-action/index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/goods-action/index.js                     | JavaScript |          5 |          0 |          1 |          6 |
| components/vant/goods-action/index.json                   | JSON       |          3 |          0 |          1 |          4 |
| components/vant/goods-action/index.wxml                   | wxml       |          4 |          0 |          2 |          6 |
| components/vant/goods-action/index.wxss                   | CSS        |          1 |          0 |          0 |          1 |
| components/vant/icon/index.d.ts                           | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/icon/index.js                             | JavaScript |         19 |          0 |          1 |         20 |
| components/vant/icon/index.json                           | JSON       |          6 |          0 |          1 |          7 |
| components/vant/icon/index.wxml                           | wxml       |         17 |          0 |          2 |         19 |
| components/vant/icon/index.wxss                           | CSS        |          1 |          0 |          0 |          1 |
| components/vant/info/index.d.ts                           | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/info/index.js                             | JavaScript |          7 |          0 |          1 |          8 |
| components/vant/info/index.json                           | JSON       |          3 |          0 |          1 |          4 |
| components/vant/info/index.wxml                           | wxml       |          5 |          0 |          1 |          6 |
| components/vant/info/index.wxss                           | CSS        |          1 |          0 |          0 |          1 |
| components/vant/loading/index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/loading/index.js                          | JavaScript |         17 |          0 |          1 |         18 |
| components/vant/loading/index.json                        | JSON       |          3 |          0 |          0 |          3 |
| components/vant/loading/index.wxml                        | wxml       |         16 |          0 |          1 |         17 |
| components/vant/loading/index.wxss                        | CSS        |          1 |          0 |          0 |          1 |
| components/vant/mixins/basic.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/basic.js                           | JavaScript |         22 |          0 |          1 |         23 |
| components/vant/mixins/button.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/button.js                          | JavaScript |         18 |          0 |          1 |         19 |
| components/vant/mixins/link.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/link.js                            | JavaScript |         17 |          0 |          1 |         18 |
| components/vant/mixins/observer/behavior.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/observer/behavior.js               | JavaScript |         46 |          1 |          1 |         48 |
| components/vant/mixins/observer/index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/observer/index.js                  | JavaScript |         27 |          0 |          1 |         28 |
| components/vant/mixins/observer/props.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/observer/props.js                  | JavaScript |         22 |          0 |          1 |         23 |
| components/vant/mixins/open-type.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/open-type.js                       | JavaScript |         25 |          0 |          1 |         26 |
| components/vant/mixins/safe-area.d.ts                     | TypeScript |          4 |          0 |          1 |          5 |
| components/vant/mixins/safe-area.js                       | JavaScript |         39 |          0 |          1 |         40 |
| components/vant/mixins/touch.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/touch.js                           | JavaScript |         27 |          0 |          1 |         28 |
| components/vant/mixins/transition.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/mixins/transition.js                      | JavaScript |         93 |          0 |          1 |         94 |
| components/vant/nav-bar/index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/nav-bar/index.js                          | JavaScript |         29 |          0 |          1 |         30 |
| components/vant/nav-bar/index.json                        | JSON       |          6 |          0 |          1 |          7 |
| components/vant/nav-bar/index.wxml                        | wxml       |         36 |          0 |          2 |         38 |
| components/vant/nav-bar/index.wxss                        | CSS        |          1 |          0 |          0 |          1 |
| components/vant/notice-bar/index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/notice-bar/index.js                       | JavaScript |        123 |          0 |          1 |        124 |
| components/vant/notice-bar/index.json                     | JSON       |          6 |          0 |          0 |          6 |
| components/vant/notice-bar/index.wxml                     | wxml       |         32 |          0 |          4 |         36 |
| components/vant/notice-bar/index.wxss                     | CSS        |          1 |          0 |          0 |          1 |
| components/vant/notify/index.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/notify/index.js                           | JavaScript |         45 |          0 |          1 |         46 |
| components/vant/notify/index.json                         | JSON       |          6 |          0 |          1 |          7 |
| components/vant/notify/index.wxml                         | wxml       |          9 |          0 |          1 |         10 |
| components/vant/notify/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/notify/notify.d.ts                        | TypeScript |         12 |          0 |          1 |         13 |
| components/vant/notify/notify.js                          | JavaScript |         25 |          0 |          1 |         26 |
| components/vant/overlay/index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/overlay/index.js                          | JavaScript |         22 |          1 |          1 |         24 |
| components/vant/overlay/index.json                        | JSON       |          6 |          0 |          1 |          7 |
| components/vant/overlay/index.wxml                        | wxml       |          8 |          0 |          1 |          9 |
| components/vant/overlay/index.wxss                        | CSS        |          1 |          0 |          0 |          1 |
| components/vant/panel/index.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/panel/index.js                            | JavaScript |         10 |          0 |          1 |         11 |
| components/vant/panel/index.json                          | JSON       |          6 |          0 |          1 |          7 |
| components/vant/panel/index.wxml                          | wxml       |         17 |          0 |          3 |         20 |
| components/vant/panel/index.wxss                          | CSS        |          1 |          0 |          0 |          1 |
| components/vant/picker-column/index.d.ts                  | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/picker-column/index.js                    | JavaScript |        136 |          0 |          1 |        137 |
| components/vant/picker-column/index.json                  | JSON       |          3 |          0 |          0 |          3 |
| components/vant/picker-column/index.wxml                  | wxml       |         29 |          0 |          3 |         32 |
| components/vant/picker-column/index.wxss                  | CSS        |          1 |          0 |          0 |          1 |
| components/vant/picker/index.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/picker/index.js                           | JavaScript |        121 |         11 |          1 |        133 |
| components/vant/picker/index.json                         | JSON       |          7 |          0 |          1 |          8 |
| components/vant/picker/index.wxml                         | wxml       |         59 |          0 |          2 |         61 |
| components/vant/picker/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/picker/shared.d.ts                        | TypeScript |         21 |          0 |          1 |         22 |
| components/vant/picker/shared.js                          | JavaScript |         21 |          0 |          1 |         22 |
| components/vant/popup/index.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/popup/index.js                            | JavaScript |         57 |          0 |          1 |         58 |
| components/vant/popup/index.json                          | JSON       |          6 |          0 |          1 |          7 |
| components/vant/popup/index.wxml                          | wxml       |         19 |          0 |          2 |         21 |
| components/vant/popup/index.wxss                          | CSS        |          1 |          0 |          0 |          1 |
| components/vant/progress/index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/progress/index.js                         | JavaScript |         65 |          0 |          1 |         66 |
| components/vant/progress/index.json                       | JSON       |          3 |          0 |          1 |          4 |
| components/vant/progress/index.wxml                       | wxml       |         14 |          0 |          1 |         15 |
| components/vant/progress/index.wxss                       | CSS        |          1 |          0 |          0 |          1 |
| components/vant/radio-group/index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/radio-group/index.js                      | JavaScript |         33 |          0 |          1 |         34 |
| components/vant/radio-group/index.json                    | JSON       |          6 |          0 |          1 |          7 |
| components/vant/radio-group/index.wxml                    | wxml       |          1 |          0 |          1 |          2 |
| components/vant/radio-group/index.wxss                    | CSS        |          1 |          0 |          0 |          1 |
| components/vant/radio/index.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/radio/index.js                            | JavaScript |         32 |          0 |          1 |         33 |
| components/vant/radio/index.json                          | JSON       |          6 |          0 |          1 |          7 |
| components/vant/radio/index.wxml                          | wxml       |         22 |          0 |          2 |         24 |
| components/vant/radio/index.wxss                          | CSS        |          1 |          0 |          0 |          1 |
| components/vant/rate/index.d.ts                           | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/rate/index.js                             | JavaScript |         74 |          0 |          1 |         75 |
| components/vant/rate/index.json                           | JSON       |          6 |          0 |          1 |          7 |
| components/vant/rate/index.wxml                           | wxml       |         30 |          0 |          3 |         33 |
| components/vant/rate/index.wxss                           | CSS        |          1 |          0 |          0 |          1 |
| components/vant/row/index.d.ts                            | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/row/index.js                              | JavaScript |         36 |          0 |          1 |         37 |
| components/vant/row/index.json                            | JSON       |          3 |          0 |          1 |          4 |
| components/vant/row/index.wxml                            | wxml       |          3 |          0 |          1 |          4 |
| components/vant/row/index.wxss                            | CSS        |          1 |          0 |          0 |          1 |
| components/vant/search/index.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/search/index.js                           | JavaScript |         52 |          0 |          1 |         53 |
| components/vant/search/index.json                         | JSON       |          7 |          0 |          1 |          8 |
| components/vant/search/index.wxml                         | wxml       |         43 |          0 |          4 |         47 |
| components/vant/search/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/slider/index.d.ts                         | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/slider/index.js                           | JavaScript |         87 |          0 |          1 |         88 |
| components/vant/slider/index.json                         | JSON       |          3 |          0 |          1 |          4 |
| components/vant/slider/index.wxml                         | wxml       |         28 |          0 |          2 |         30 |
| components/vant/slider/index.wxss                         | CSS        |          1 |          0 |          0 |          1 |
| components/vant/stepper/index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/stepper/index.js                          | JavaScript |         96 |          1 |          1 |         98 |
| components/vant/stepper/index.json                        | JSON       |          3 |          0 |          0 |          3 |
| components/vant/stepper/index.wxml                        | wxml       |         26 |          0 |          2 |         28 |
| components/vant/stepper/index.wxss                        | CSS        |          1 |          0 |          0 |          1 |
| components/vant/steps/index.d.ts                          | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/steps/index.js                            | JavaScript |         17 |          0 |          1 |         18 |
| components/vant/steps/index.json                          | JSON       |          6 |          0 |          1 |          7 |
| components/vant/steps/index.wxml                          | wxml       |         31 |          0 |          5 |         36 |
| components/vant/steps/index.wxss                          | CSS        |          1 |          0 |          0 |          1 |
| components/vant/submit-bar/index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| components/vant/submit-bar/index.js                       | JavaScript |         49 |          0 |          1 |         50 |
| components/vant/submit-bar/index.json                     | JSON       |          6 |          0 |          1 |          7 |
| components/vant/submit-bar/index.wxml                     | wxml       |         39 |          0 |          4 |         43 |
| components/vant/submit-bar/index.wxss                     | CSS        |          1 |          0 |          0 |          1 |
